Time,v1,v2,Tank1,Tank2,Tank3,Tank4
7.525940742592824790e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.611137041885252752e-01,1.837371444569654566e-01,4.235733434107209483e-01,9.281205674587084120e-02
7.526940867608451299e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.614077792471021178e-01,1.830376235065641899e-01,4.242887682775270397e-01,9.244826354902180299e-02
7.527940992624078717e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.617010365341618738e-01,1.823423693188854500e-01,4.249993439036934828e-01,9.209103584537538245e-02
7.528941117639705226e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.619934602271256574e-01,1.816514417715146823e-01,4.257051071688806587e-01,9.174026752397350382e-02
7.529941242655332644e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.622850350864545876e-01,1.809648982465749678e-01,4.264060946115141859e-01,9.139585379002920784e-02
7.530941367670959153e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.625757464398079610e-01,1.802827936658412400e-01,4.271023424329005169e-01,9.105769116077030989e-02
7.531941492686586571e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.628655801666345493e-01,1.796051805260499290e-01,4.277938865012917979e-01,9.072567746090677565e-02
7.532941617702213080e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.631545226831701279e-01,1.789321089344208804e-01,4.284807623558672951e-01,9.039971181774847375e-02
7.533941742717840498e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.634425609278474800e-01,1.782636266443359541e-01,4.291630052106712445e-01,9.007969465596342429e-02
7.534941867733467006e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.637296823470913987e-01,1.775997790911937879e-01,4.298406499584732088e-01,8.976552769200464577e-02
7.535941992749094425e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.640158748814983802e-01,1.769406094283995368e-01,4.305137311745761419e-01,8.945711392820347718e-02
7.536942117764720933e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.643011269523859397e-01,1.762861585634843131e-01,4.311822831205613382e-01,8.915435764654557060e-02
7.537942242780348352e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.645854274487030811e-01,1.756364651943314870e-01,4.318463397479785360e-01,8.885716440213614620e-02
7.538942367795974860e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.648687657142900165e-01,1.749915658455000467e-01,4.325059347019736822e-01,8.856544101636870669e-02
7.539942492811602278e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.651511315354805831e-01,1.743514949046173768e-01,4.331611013248693465e-01,8.827909556980216566e-02
7.540942617827228787e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.654325151290317042e-01,1.737162846588429788e-01,4.338118726596760788e-01,8.799803739476483311e-02
7.541942742842856205e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.657129071303804768e-01,1.730859653313608360e-01,4.344582814535660198e-01,8.772217706768427326e-02
7.542942867858482714e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.659922985822091801e-01,1.724605651179104693e-01,4.351003601612800087e-01,8.745142640116479460e-02
7.543942992874110132e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.662706809233201466e-01,1.718401102233154953e-01,4.357381409484951118e-01,8.718569843581243373e-02
7.544943117889736641e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.665480459778017897e-01,1.712246248980169305e-01,4.363716556951307557e-01,8.692490743182700041e-02
7.545943242905364059e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.668243859444867028e-01,1.706141314745741600e-01,4.370009359986132824e-01,8.666896886036325187e-02
7.546943367920990568e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.670996933866833734e-01,1.700086504041408708e-01,4.376260131770784989e-01,8.641779939468040295e-02
7.547943492936617986e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.673739612286888334e-01,1.694082002616634497e-01,4.382469182980610056e-01,8.617131687291133824e-02
7.548943617952244495e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.676471828343320536e-01,1.688127973602965293e-01,4.388636825218721893e-01,8.592943991843547680e-02
7.549943742967871913e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.679193518033174626e-01,1.682224567228302603e-01,4.394763363383330512e-01,8.569208878045211919e-02
7.550943867983498421e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.681904620613359214e-01,1.676371916363171843e-01,4.400849099709211454e-01,8.545918487163092769e-02
7.551943992999125840e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.684605078511007825e-01,1.670570136880766554e-01,4.406894333797266028e-01,8.523065075838751059e-02
7.552944118014752348e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.687294837236142653e-01,1.664819328015851030e-01,4.412899362643530887e-01,8.500641015100063314e-02
7.553944243030379766e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.689973845296675881e-01,1.659119572722135838e-01,4.418864480667868411e-01,8.478638789357163807e-02
7.554944368046006275e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.692642054115612582e-01,1.653470938028166193e-01,4.424789979742177470e-01,8.457050995384193803e-02
7.555944493061632784e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.695299417950497101e-01,1.647873475391354869e-01,4.430676149218363280e-01,8.435870341286991203e-02
7.556944618077260202e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.697945893814882534e-01,1.642327221050362274e-01,4.436523275955707724e-01,8.415089645458892487e-02
7.557944743092886711e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.700581441401954885e-01,1.636832196375314630e-01,4.442331644348058162e-01,8.394701835524105704e-02
7.558944868108514129e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.703206023010115922e-01,1.631388408215993790e-01,4.448101536350554941e-01,8.374699947270580758e-02
7.559944993124140638e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.705819603470480061e-01,1.625995849247886815e-01,4.453833231505902601e-01,8.355077123573212416e-02
7.560945118139768056e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.708422150076362445e-01,1.620654498315680647e-01,4.459527006970481211e-01,8.335826613307173449e-02
7.561945243155394564e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.711013632514525873e-01,1.615364320774473617e-01,4.465183137539915914e-01,8.316941770253641342e-02
7.562945368171021983e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.713594022798281824e-01,1.610125268828288825e-01,4.470801895674405557e-01,8.298416051997618836e-02
7.563945493186648491e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.716163295202298988e-01,1.604937281865967125e-01,4.476383551523643312e-01,8.280243018819276324e-02
7.564945618202275909e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.718721426199135704e-01,1.599800286794227089e-01,4.481928372951414219e-01,8.262416332579279599e-02
7.565945743217902418e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.721268394397414969e-01,1.594714198367848390e-01,4.487436625559851899e-01,8.244929755598945365e-02
7.566945868233529836e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.723804180481653126e-01,1.589678919516764322e-01,4.492908572713454896e-01,8.227777149535663026e-02
7.567945993249156345e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.726328767153557653e-01,1.584694341670260798e-01,4.498344475562562894e-01,8.210952474255220346e-02
7.568946118264783763e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.728842139074971973e-01,1.579760345077754202e-01,4.503744593066772439e-01,8.194449786700265526e-02
7.569946243280410272e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.731344282812222191e-01,1.574876799126460336e-01,4.509109182017871365e-01,8.178263239756873582e-02
7.570946368296037690e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.733835186781916837e-01,1.570043562655684954e-01,4.514438497062472910e-01,8.162387081119326648e-02
7.571946493311664199e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.736314841198194348e-01,1.565260484267620156e-01,4.519732790724438898e-01,8.146815652153495402e-02
7.572946618327291617e+03,4.421318925538304967e+00,8.530762381462244193e+00,1.738783238021301969e-01,1.560527402634688809e-01,4.524992313426922652e-01,8.131543386759922110e-02
